"","gene_id","gene_name","gene_type","chr","X1kb_up_tss_start","strand","number_of_dbp","tpm_homo_sapiens_hepg2","tpm_homo_sapiens_membrane_fraction","tpm_homo_sapiens_insoluble_cytoplasmic_fraction","tpm_homo_sapiens_cytosolic_fraction","tpm_homo_sapiens_nuclear_fraction"
"60","ENSG00000004799.8","PDK4","protein_coding","chr7",95595517,"-",104,0.05291,0.0268775,0.027015,0,0.0278375
"61","ENSG00000004809.14","SLC22A16","protein_coding","chr6",110475642,"-",1,0.070069,0.040055,0.1183375,0.001005,0.156807
"62","ENSG00000004838.14","ZMYND10","protein_coding","chr3",50344733,"-",40,0.194586,0.062008,0.187553,0.043824,0.315988
"63","ENSG00000004846.16","ABCB5","protein_coding","chr7",20614207,"+",0,0.232203,0.07659,0.1181235,0.011866,0.5599025
"64","ENSG00000004848.8","ARX","protein_coding","chrX",25015421,"-",108,0.003898,0.0107875,0.011603,0.0012285,0.0331435
"65","ENSG00000004864.13","SLC25A13","protein_coding","chr7",96321148,"-",385,50.400292,15.381185,79.139344,3.141547,43.772624
"66","ENSG00000004866.20","ST7","protein_coding","chr7",116952238,"+",262,11.629865,11.313336,12.203018,1.261226,19.570526
"67","ENSG00000004897.12","CDC27","protein_coding","chr17",47188423,"-",333,44.690588,13.395533,102.075751,1.0909385,30.7970015
"68","ENSG00000004939.15","SLC4A1","protein_coding","chr17",44267142,"-",12,0.9781655,0.4091595,0.476973,0.064603,2.945397
"69","ENSG00000004948.15","CALCR","protein_coding","chr7",93573731,"-",6,0,0,0,0,0
"70","ENSG00000004961.15","HCCS","protein_coding","chrX",11110301,"+",161,5.5062325,2.754574,16.448462,0.2169155,3.435225
"71","ENSG00000004975.12","DVL2","protein_coding","chr17",7233518,"-",305,19.1758135,11.774691,18.4160605,3.3798615,16.6647165
"72","ENSG00000005001.10","PRSS22","protein_coding","chr16",2857171,"-",0,0.081585,0.043395,0.085239,0,0.1068405
"73","ENSG00000005007.12","UPF1","protein_coding","chr19",18830938,"+",277,21.734185,9.4151325,24.9758995,1.3578835,20.01612
"74","ENSG00000005020.13","SKAP2","protein_coding","chr7",26994240,"-",0,6.3973185,1.768033,13.4332605,0.284107,5.410907
"75","ENSG00000005022.6","SLC25A5","protein_coding","chrX",119467422,"+",274,146.8461475,88.410043,345.0219405,9.8847665,61.7197565
"76","ENSG00000005059.16","MCUB","protein_coding","chr4",109559209,"+",234,3.3600955,4.25516,4.7994505,0.589345,3.061361
"77","ENSG00000005073.5","HOXA11","protein_coding","chr7",27184224,"-",55,0.003693,0.0082695,0,0,0
"78","ENSG00000005075.15","POLR2J","protein_coding","chr7",102477908,"-",0,18.7351605,28.648219,24.2308625,9.2407375,17.5150245
"79","ENSG00000005100.13","DHX33","protein_coding","chr17",5467983,"-",324,9.9478185,5.078189,24.1977615,0.925162,8.384057
"80","ENSG00000005102.13","MEOX1","protein_coding","chr17",43660923,"-",12,0.005895,0,0,0,0
"81","ENSG00000005108.16","THSD7A","protein_coding","chr7",11831199,"-",47,0.0162345,0.033923,0.0060965,0,0.0738055
"82","ENSG00000005156.12","LIG3","protein_coding","chr17",34979512,"+",309,22.6842075,6.109058,23.9940215,1.230444,27.993206
"83","ENSG00000005175.10","RPAP3","protein_coding","chr12",47705031,"-",284,17.083086,1.9047565,38.0391435,0.1354435,12.0209915
"84","ENSG00000005187.12","ACSM3","protein_coding","chr16",20609243,"+",127,44.457217,11.5199715,70.8238435,0.808414,66.5497585
"85","ENSG00000005189.19","REXO5","protein_coding","chr16",20805429,"+",377,6.697533,3.6135085,9.9311815,0.9007155,10.961314
"86","ENSG00000005194.15","CIAPIN1","protein_coding","chr16",57446421,"-",342,40.092109,8.8179365,78.05796,1.2316705,15.9724865
"87","ENSG00000005206.17","SPPL2B","protein_coding","chr19",2327615,"+",303,12.2945465,5.344327,3.489704,1.275096,14.3481485
"88","ENSG00000005238.19","FAM214B","protein_coding","chr9",35115342,"-",226,0.884253,0.504254,1.3873095,0.0457305,0.799718
"89","ENSG00000005243.10","COPZ2","protein_coding","chr17",48037031,"-",233,0.4707895,0.330379,0.3141125,0.05493,0.285573
"90","ENSG00000005249.13","PRKAR2B","protein_coding","chr7",107043705,"+",83,0.073633,0.0335775,0.0920025,0.0014675,0.255862
"91","ENSG00000005302.19","MSL3","protein_coding","chrX",11757159,"+",137,2.8950685,1.4783395,5.472512,0.221892,3.8715705
"92","ENSG00000005339.14","CREBBP","protein_coding","chr16",3879727,"-",221,21.960067,9.436285,16.121839,2.849968,54.332321
"93","ENSG00000005379.17","TSPOAP1","protein_coding","chr17",58327796,"-",22,0.0732605,0.0104795,0.0025705,0.002179,0.102957
"94","ENSG00000005381.8","MPO","protein_coding","chr17",58279936,"-",20,0.0042165,0.0295715,0,0,0
"95","ENSG00000005421.9","PON1","protein_coding","chr7",95323533,"-",29,0.838621,0.254258,0.1149295,0.035667,2.30514
"96","ENSG00000005436.14","GCFC2","protein_coding","chr2",75709986,"-",382,26.6713595,16.71608,41.264118,2.534306,22.060933
"97","ENSG00000005448.16","WDR54","protein_coding","chr2",74420678,"+",214,6.701611,2.0925405,5.040463,0.2163065,8.781732
"98","ENSG00000005469.11","CROT","protein_coding","chr7",87344681,"+",298,11.982316,1.129226,11.4192245,0.1882535,19.898296
"99","ENSG00000005471.17","ABCB4","protein_coding","chr7",87479436,"-",5,13.911056,1.762714,6.5267155,0.477328,23.47319
"100","ENSG00000005483.21","KMT2E","protein_coding","chr7",105013190,"+",344,18.650744,8.0725245,26.31785,1.704398,39.364762
"101","ENSG00000005486.17","RHBDD2","protein_coding","chr7",75841602,"+",32,11.5088855,10.8084475,8.896656,2.3015535,9.773387
"102","ENSG00000005513.10","SOX8","protein_coding","chr16",980770,"+",100,0.15167,0.1186835,0.1767705,0.002713,0.065387
"103","ENSG00000005700.15","IBTK","protein_coding","chr6",82246755,"-",0,34.133323,7.215588,73.1332195,1.2301525,28.372258
"104","ENSG00000005801.18","ZNF195","protein_coding","chr11",3378223,"-",282,16.8871765,4.818443,24.058913,0.557704,32.9196325
"105","ENSG00000005810.18","MYCBP2","protein_coding","chr13",77326095,"-",272,12.0896425,2.39002,24.9052985,0.230229,26.242213
"106","ENSG00000005812.11","FBXL3","protein_coding","chr13",77026196,"-",259,12.1095155,3.103463,22.6528965,0.17219,8.2835295
"107","ENSG00000005844.18","ITGAL","protein_coding","chr16",30471719,"+",95,3.169988,1.023671,1.691245,0.1516885,6.096376
"108","ENSG00000005882.12","PDK2","protein_coding","chr17",50093737,"+",313,9.131747,4.6265735,14.153997,1.0820655,6.0622255
"109","ENSG00000005884.18","ITGA3","protein_coding","chr17",50054968,"+",125,1.0125585,0.3700995,0.3135555,0.2472995,1.867822
"110","ENSG00000005889.15","ZFX","protein_coding","chrX",24148173,"+",215,21.851787,8.0724535,46.3116935,2.41518,23.319314
"111","ENSG00000005893.15","LAMP2","protein_coding","chrX",120468366,"-",212,62.978275,4.4422295,45.6628335,0.3043495,42.553048
"112","ENSG00000005961.19","ITGA2B","protein_coding","chr17",44388650,"-",9,0.332449,0.154851,0.238405,0.030494,0.512741
"113","ENSG00000005981.13","ASB4","protein_coding","chr7",95477444,"+",96,0.9375,0.1785935,1.1506365,0.0081735,1.277442
"114","ENSG00000006007.12","GDE1","protein_coding","chr16",19521124,"-",287,27.8206155,32.003955,35.261763,2.4377565,15.876466
"115","ENSG00000006015.17","REX1BD","protein_coding","chr19",18587685,"+",368,13.9920175,7.811762,17.937745,1.874401,8.715096
"116","ENSG00000006016.11","CRLF1","protein_coding","chr19",18606742,"-",103,85.659683,64.0482725,72.976813,6.3509665,80.0856685
"117","ENSG00000006025.12","OSBPL7","protein_coding","chr17",47820835,"-",189,2.710673,0.5525555,0.6872375,0.390322,3.8882255
"118","ENSG00000006042.12","TMEM98","protein_coding","chr17",32926910,"+",236,51.9118185,42.127094,62.4843555,6.3126805,37.478632
"119","ENSG00000006047.13","YBX2","protein_coding","chr17",7293640,"-",0,0.2070385,0.0721555,0.0785115,0.0087965,0.4648955
"120","ENSG00000006059.4","KRT33A","protein_coding","chr17",41349829,"-",0,0,0,0,0,0
"121","ENSG00000006062.17","MAP3K14","protein_coding","chr17",45316030,"-",0,1.530869,0.6926955,0.7116755,0.183334,1.837809
"122","ENSG00000006071.14","ABCC8","protein_coding","chr11",17475880,"-",14,0.105096,0.048891,0.0437965,0.0041355,0.36821
"123","ENSG00000006116.3","CACNG3","protein_coding","chr16",24254553,"+",120,0,0,0,0,0
"124","ENSG00000006118.14","TMEM132A","protein_coding","chr11",60923463,"+",229,11.7684755,4.586199,4.5793395,0.5570905,12.461459
"125","ENSG00000006125.18","AP2B1","protein_coding","chr17",35577046,"+",293,11.0226965,6.712401,38.1240935,0.414816,14.034519
"126","ENSG00000006128.12","TAC1","protein_coding","chr7",97731084,"+",4,0,0,0,0,0
"127","ENSG00000006194.10","ZNF263","protein_coding","chr16",3262800,"+",332,16.790772,6.9952575,25.725412,0.3830585,13.9380895
"128","ENSG00000006210.7","CX3CL1","protein_coding","chr16",57371477,"+",367,25.426847,8.0939555,15.5655585,0.9955595,24.825298
"129","ENSG00000006282.21","SPATA20","protein_coding","chr17",50542058,"+",331,29.5983725,24.8981015,23.0621545,5.249708,24.176932
"130","ENSG00000006283.18","CACNA1G","protein_coding","chr17",50559715,"+",133,0.134033,0.0191525,0.0851375,0.0018825,0.1842695
"131","ENSG00000006327.13","TNFRSF12A","protein_coding","chr16",3017445,"+",137,34.6537545,24.5878785,25.645488,5.4086965,22.0056855
"132","ENSG00000006377.11","DLX6","protein_coding","chr7",97004553,"+",296,2.4960675,1.7340835,2.8951025,0.283844,2.8828435
"133","ENSG00000006432.15","MAP3K9","protein_coding","chr14",70808535,"-",241,2.2541115,0.5399435,2.2423495,0.1224345,2.2031455
"134","ENSG00000006451.8","RALA","protein_coding","chr7",39622565,"+",298,8.9322355,4.432491,24.1269135,0.3767035,8.058135
"135","ENSG00000006453.14","BAIAP2L1","protein_coding","chr7",98400091,"-",271,7.058829,4.354111,9.6193565,0.4569065,4.634639
"136","ENSG00000006459.11","KDM7A","protein_coding","chr7",140175984,"-",302,5.2589145,1.115006,9.895201,0.1017735,9.417551
"137","ENSG00000006468.14","ETV1","protein_coding","chr7",13990426,"-",82,0.0831515,0.011578,0.3298725,0.00221,0.2092405
"138","ENSG00000006530.18","AGK","protein_coding","chr7",141550278,"+",320,19.3662765,2.9285305,22.380967,0.648935,23.993885
"139","ENSG00000006534.16","ALDH3B1","protein_coding","chr11",68007578,"+",87,3.536282,1.329671,4.1392295,0.237731,3.3359935
"140","ENSG00000006555.11","TTC22","protein_coding","chr1",54800324,"-",25,0.4112595,0.2362275,0.087909,0.042586,0.789254
"141","ENSG00000006576.16","PHTF2","protein_coding","chr7",77797792,"+",277,5.247063,1.5306215,5.609119,0.1143895,6.103646
"142","ENSG00000006606.8","CCL26","protein_coding","chr7",75788897,"-",0,0.0705375,0,0,0,0
"143","ENSG00000006607.14","FARP2","protein_coding","chr2",241355285,"+",297,19.2921235,7.6000815,30.511514,4.216626,19.82229
"144","ENSG00000006611.16","USH1C","protein_coding","chr11",17543417,"-",7,0.023243,0,0,0,0.083005
"145","ENSG00000006625.18","GGCT","protein_coding","chr7",30503842,"-",262,39.0957535,17.561358,72.491955,1.6581165,13.026621
"146","ENSG00000006634.8","DBF4","protein_coding","chr7",87875216,"+",343,36.057886,11.559145,69.063991,0.6164365,21.408048
"147","ENSG00000006638.11","TBXA2R","protein_coding","chr19",3605841,"-",72,1.6533895,2.1480575,0.454387,0.8302955,3.775876
"148","ENSG00000006652.14","IFRD1","protein_coding","chr7",112421968,"+",132,42.4142945,7.425237,43.9234245,0.5178925,51.972448
"149","ENSG00000006659.13","LGALS14","protein_coding","chr19",39703481,"+",1,0.0202625,0.0172085,0,0.0026045,0.043946
"150","ENSG00000006695.12","COX10","protein_coding","chr17",14068490,"+",322,10.563366,7.4160625,13.2678575,1.083193,11.2033025
"151","ENSG00000006704.10","GTF2IRD1","protein_coding","chr7",74452790,"+",240,5.5503615,3.9023005,6.8754825,0.373998,5.6448915
"152","ENSG00000006712.15","PAF1","protein_coding","chr19",39390155,"-",275,12.972583,2.440556,15.759504,0.357472,7.902151
"153","ENSG00000006715.16","VPS41","protein_coding","chr7",38931395,"-",19,20.1623455,1.9433105,37.855794,0.2882295,26.113276
"154","ENSG00000006740.17","ARHGAP44","protein_coding","chr17",12788498,"+",160,1.74815,1.189629,1.912245,0.0959115,1.8113525
"155","ENSG00000006744.19","ELAC2","protein_coding","chr17",13017066,"-",261,33.6198915,5.728957,36.8432465,0.6638825,34.9886825
"156","ENSG00000006747.15","SCIN","protein_coding","chr7",12569577,"+",7,0.7804435,0.2808055,0.1468635,0.028033,1.345014
"157","ENSG00000006756.16","ARSD","protein_coding","chrX",2928350,"-",233,4.7836815,1.50236,1.994672,0.3192045,8.362321
"158","ENSG00000006757.12","PNPLA4","protein_coding","chrX",7926740,"-",231,7.2557765,5.188677,10.179261,1.150845,4.1585735
"159","ENSG00000006788.14","MYH13","protein_coding","chr17",10372131,"-",2,0,0,0,0,0
"160","ENSG00000006831.10","ADIPOR2","protein_coding","chr12",1687574,"+",0,19.659132,8.9922725,26.863063,1.3190465,30.726156
"161","ENSG00000006837.12","CDKL3","protein_coding","chr5",134370048,"-",327,3.1832445,1.735723,3.0331585,0.26723,4.2650125
"162","ENSG00000007001.12","UPP2","protein_coding","chr2",157875702,"+",246,0.130097,0.0654765,0.1021115,0.002424,0.239705
"163","ENSG00000007038.11","PRSS21","protein_coding","chr16",2816180,"+",9,0,0,0,0,0
"164","ENSG00000007047.15","MARK4","protein_coding","chr19",45078288,"+",352,5.146289,10.79586,7.8504325,2.257284,4.7631875
"165","ENSG00000007062.11","PROM1","protein_coding","chr4",16083379,"-",99,1.975632,0.4176865,1.38985,0.127377,2.485511
"166","ENSG00000007080.11","CCDC124","protein_coding","chr19",17932015,"+",295,8.548511,5.5619515,10.7734545,0.912916,6.2299945
"167","ENSG00000007129.18","CEACAM21","protein_coding","chr19",41548518,"+",0,0,0.0120325,0,0.0041465,0
"168","ENSG00000007168.13","PAFAH1B1","protein_coding","chr17",2592210,"+",278,34.02517,9.1075495,55.7196445,1.201988,18.863212
"169","ENSG00000007171.18","NOS2","protein_coding","chr17",27799530,"-",20,0.0054345,0.001922,0.005652,0,0.00397
"170","ENSG00000007174.18","DNAH9","protein_coding","chr17",11597470,"+",41,0.400215,0.076796,0.158496,0.0327775,0.7101505
"171","ENSG00000007202.15","KIAA0100","protein_coding","chr17",28644455,"-",254,28.979755,9.443929,35.519861,0.9817995,33.2098385
"172","ENSG00000007216.14","SLC13A2","protein_coding","chr17",28472293,"+",14,0.002833,0.0067225,0,0,0.016977
"173","ENSG00000007237.18","GAS7","protein_coding","chr17",10197552,"-",5,2.326542,1.3092635,4.111089,0.112201,1.6942255
"174","ENSG00000007255.10","TRAPPC6A","protein_coding","chr19",45177238,"-",258,3.0838605,2.4720115,5.123972,0.7421325,1.132232
"175","ENSG00000007264.15","MATK","protein_coding","chr19",3801130,"-",9,1.8077455,0.5336045,0.802426,0.301549,4.76837
"176","ENSG00000007306.15","CEACAM7","protein_coding","chr19",41705977,"-",114,0,0,0,0,0
"177","ENSG00000007312.12","CD79B","protein_coding","chr17",63931355,"-",29,0.0052195,0.013025,0.2288605,0.0024225,0.014048
"178","ENSG00000007314.12","SCN4A","protein_coding","chr17",63971919,"-",6,0.004524,0.000886,0.0020675,0,0.0042665
"179","ENSG00000007341.19","ST7L","protein_coding","chr1",112619826,"-",304,11.7274625,3.9995365,8.7248425,1.0098935,14.9477305
"180","ENSG00000007350.17","TKTL1","protein_coding","chrX",154294795,"+",0,0.0160455,0,0,0,0.007679
"181","ENSG00000007372.23","PAX6","protein_coding","chr11",31816962,"-",31,0.2503885,0.0512025,0.067139,0.0177905,0.770056
"182","ENSG00000007376.8","RPUSD1","protein_coding","chr16",787398,"-",205,12.9868085,15.986594,18.42115,2.211308,6.661776
"183","ENSG00000007384.15","RHBDF1","protein_coding","chr16",75356,"-",262,2.6294535,0.546522,1.2035115,0.1284175,3.6916645
"184","ENSG00000007392.16","LUC7L","protein_coding","chr16",228464,"-",345,24.5224705,5.156542,27.4900725,1.148014,24.134836
"185","ENSG00000007402.11","CACNA2D2","protein_coding","chr3",50503245,"-",15,0.0276855,0.004075,0.0110285,0,0.067426
"186","ENSG00000007516.13","BAIAP3","protein_coding","chr16",1332601,"+",154,1.430048,0.255381,1.130174,0.1364435,1.4391475
"187","ENSG00000007520.4","TSR3","protein_coding","chr16",1350879,"-",238,30.18298,58.227856,43.8472965,12.0797725,11.242749
"188","ENSG00000007541.16","PIGQ","protein_coding","chr16",565995,"+",136,11.5541015,9.5149025,7.4989585,2.365775,10.9658495
"189","ENSG00000007545.15","CRAMP1","protein_coding","chr16",1611325,"+",243,3.268953,1.778802,4.0390255,0.702856,3.2474115
"190","ENSG00000007866.21","TEAD3","protein_coding","chr6",35496080,"-",309,6.6377835,4.6032605,9.103092,0.338201,5.0512765
"191","ENSG00000007908.16","SELE","protein_coding","chr1",169763706,"-",9,0.022455,0.0169435,0.023939,0,0.0054805
"192","ENSG00000007923.16","DNAJC11","protein_coding","chr1",6700925,"-",360,24.6317605,4.8556135,33.8927885,0.96739,21.1419075
"193","ENSG00000007933.13","FMO3","protein_coding","chr1",171089901,"+",0,0.7735315,0.221765,0.246572,0.0297425,2.0311795
"194","ENSG00000007944.15","MYLIP","protein_coding","chr6",16128086,"+",357,1.6701675,0.3956255,1.929937,0.022021,2.8537025
"195","ENSG00000007952.18","NOX1","protein_coding","chrX",100873360,"-",3,0.0211925,0.013278,0.064866,0.002546,0.055137
"196","ENSG00000007968.7","E2F2","protein_coding","chr1",23530234,"-",0,3.203392,1.0537945,3.857145,0.1017375,2.6899135
"197","ENSG00000008018.9","PSMB1","protein_coding","chr6",170552308,"-",343,256.2895085,37.3772705,513.4572965,6.4158205,73.3375175
"198","ENSG00000008056.14","SYN1","protein_coding","chrX",47618858,"-",221,0.0177005,0,0.007107,0.000974,0.0660165
"199","ENSG00000008083.14","JARID2","protein_coding","chr6",15245069,"+",339,4.9497845,0.9041385,6.637677,0.0766995,4.8893725
"200","ENSG00000008086.12","CDKL5","protein_coding","chrX",18424583,"+",144,5.9155135,1.326623,5.2940795,0.4294785,12.3093865
"201","ENSG00000008118.10","CAMK1G","protein_coding","chr1",209582714,"+",0,0,0,0,0,0
"202","ENSG00000008128.23","CDK11A","protein_coding","chr1",1723358,"-",264,8.527936,2.465491,2.537432,2.5674,10.5120925
"203","ENSG00000008130.15","NADK","protein_coding","chr1",1779458,"-",241,28.3955715,24.6088685,31.1486865,3.044479,22.0981755
"204","ENSG00000008196.13","TFAP2B","protein_coding","chr6",50817723,"+",3,0,0,0,0,0
"205","ENSG00000008197.4","TFAP2D","protein_coding","chr6",50712828,"+",3,0,0,0,0,0
"206","ENSG00000008226.20","DLEC1","protein_coding","chr3",38038205,"+",11,1.412018,0.080067,0.1823235,0.0148335,2.2367195
"207","ENSG00000008256.16","CYTH3","protein_coding","chr7",6271645,"-",193,1.7851545,0.994543,1.782035,0.0993345,1.7381055
"208","ENSG00000008277.14","ADAM22","protein_coding","chr7",87933143,"+",268,3.8289475,0.898022,2.167243,0.1251035,7.7937805
"209","ENSG00000008282.8","SYPL1","protein_coding","chr7",106111577,"-",282,21.0595635,6.0035865,24.0040715,0.357161,22.433604
"210","ENSG00000008283.16","CYB561","protein_coding","chr17",63445355,"-",202,3.6861155,2.5584525,3.6168455,0.267594,2.638769
"211","ENSG00000008294.21","SPAG9","protein_coding","chr17",51119869,"-",311,40.0102015,6.886726,60.9888275,1.3822005,44.050729
